Название вакансии,URL,Название кампании,Описание
PHP Full Stack Senior Developer,https://hh.ru/vacancy/32317040?query=python,ООО Русские системы,"Разработка и поддержка комплексного ПО на языке PHP. - Участие в обсуждении и принятие решений в вопросах технической архитектуры системы. -  Знание смежных и сопутствующих языков и технологий (node.js, TypeScript, Python, Java/Kotlin, Golang, C/C++ и др.) будет большим преимуществом."
Junior to middle analyst( Riga),https://hh.ru/vacancy/32716946?query=python, Bet.tech ,"Помогать в подготовке ежемесячных отчетов - собирать данные, готовить визуализации, предлагать гипотезы и проверять их. Проводить стандартную работу с данными - достать... Иметь опыт в профилировании запросов. SQL, Python/R (на базовом уровне). Знание концепций и библиотек визуализаций данных (plotly, ggplot и..."
Junior to middle analyst( Riga),https://hh.ru/vacancy/32716947?query=python, Bet.tech ,"Помогать в подготовке ежемесячных отчетов - собирать данные, готовить визуализации, предлагать гипотезы и проверять их. Проводить стандартную работу с данными - достать... Иметь опыт в профилировании запросов. SQL, Python/R (на базовом уровне). Знание концепций и библиотек визуализаций данных (plotly, ggplot и..."
Data scientist (deep research),https://hh.ru/vacancy/31656145?query=python, WorldQuant,Enriching a wide range of large structured and unstructured data into datasets for quantitative analysis. Enhancing data quality & integrity via... Expertise in time series analysis and models. Confidence with Python and a prior experience or the ability and willingness to...
"Стажёр(Анализ данных,data science)",https://hh.ru/vacancy/32444369?query=python,ООО САС Институт," Быть студентом 3-5 курса бакалавриата/специалитета, магистратуры либо недавним выпускником технической специальности. Знать хотя бы один язык программирования, разбираться..."
Front-end разработчик (senior),https://hh.ru/vacancy/32344311?query=python, YCLIENTS LLC,"Писать качественный, легко поддерживаемый и тестируемый код в команде опытных разработчиков. Писать тесты на него. Проводить code-review вместе с... Обладает представлением об одном из высокоуровневых языков программирования: Java/C++/Python/etc (синтаксис, типы данных, особенности). Умеет качественно верстать по..."
Big Data Engineer,https://hh.ru/vacancy/31656447?query=python,ООО Фитбит Бел,"The Data Platform team is responsible for making the vast amounts of data at Fitbit accessible to teams across the... Upper-intermediate English. Nice-to-Have Skills: Cloud IaaS experience: AWS, GCP, or Azure CloudDevOps experience. Experience with Python."
Младший Веб Разработчик (Junior Frontend Developer),https://hh.ru/vacancy/32686940?query=python,ООО Сигнатек,"Сигнатек» разрабатывает и внедряет IT-решения для силовых ведомств, чтобы обеспечивать легальный перехват информации и поддерживать безопасность общества. Обязательно наличие высшего профильного образования (законченного). Базовые знание языка программирования одного из C#/ С++/Java и т.д. "
Full-Stack Web-Developer / Web-Master,https://hh.ru/vacancy/30274437?query=python, NPBFX Limited,"Разработать и внедрить новое веб-приложение самостоятельно и с привлечением сторонних специалистов. Осуществлять поддержку и развитие всех используемых в проекте... Опыт проектирования и разработки веб-приложений от 3 лет. Уверенное знание веб-технологий (HTML, CSS, JavaScript). Знание LAMP или другого..."
Senior Vue.js Front-end Developer,https://hh.ru/vacancy/32342494?query=python, YCLIENTS LLC,"Разрабатывать почти с нуля обновлённый front-end на vue.js, планировать его архитектуру. Писать легко поддерживаемый и тестируемый код, а также... Отлично знает JavaScript (es.next), TypeScript. Имеет обширный опыт работы с Vue.js. Умеет качественно верстать по mobile-first. Понимает как отлаживать..."
