Название вакансии,URL,Название кампании,Описание
React Native разработчик,https://hh.ru/vacancy/32832251?query=python,ООО Нэти,Разрабатывать мобильные приложения для крупных ритейл магазинов. Работать над мобильными приложениями для логистики. Уверенные знания JavaScript. Опыт front-end разработки. Знание и понимание React / React Native. Опыт подключение библиотек Google APIs. 
Pre-Sale manager (Antifraud solution),https://hh.ru/vacancy/32502888?query=python, Group-IB,"Attending client meetings together with a sales manager. Lead technical discussions with customers in order to formalize the goals and... Knowledge of SQL, regexp and experience in analytical tools (jupyther, R, python, etc.) are big pluses. Experience in consulting and..."
Инженер интеграций / Integration Engineer (Middle),https://hh.ru/vacancy/31871182?query=python, ANY.RUN,"Налаживание интеграции между смежными продуктами. Написание примеров и библиотек для взоимодействия с нашим API. Общение с поставщиками продуктов, а так... Знание и опыт работы на скриптовых языках (Python или Node.js). Умение быстро выявлять ценность продуктов. Английский язык на уровне деловой..."
Technical Support Specialist,https://hh.ru/vacancy/30815979?query=python,ООО Рекон Групп,"Мониторинг и поддержка удаленных систем и приложений. Прием и регистрация заявок в системе, первичная диагностика. Коммуникация с первым уровнем поддержки... Практическое понимание работы протокола TCP/IP. Владение скриптовыми языками (bash, Python). Навыки работы с базами данных, опыт составления сложных SQL..."
Java-разработчик на проект Digital Credit,https://hh.ru/vacancy/29309726?query=python, Банк ВТБ (ПАО),"Разработка приложений с использованием микросервисной архитектуры на проекте Digital Credit - автоматизации процессов кредитования крупного бизнеса. Проектирование и разработка самих микросервисов... Опыт работы с Kubernetes/OpenShift. Опыт работы с Redis, RabbitMQ, SQL, PostgreSQL. Понимание и умение работать Apache Kafka, Apache Camel..."
Ведущий специалист отдела внедрения и поддержки,https://hh.ru/vacancy/32832744?query=python,ООО Ньютон Технологии, Ansible. Хотя бы немного программировать на чём-нибудь типа Python или PHP. Придётся часто работать в офисе заказчика (пока речь...
Научный сотрудник (экспериментатор),https://hh.ru/vacancy/32622772?query=python, Центр Квантовых Технологий МГУ имени М.В. Ломоносова,"Примерные задачи: - разработка оптического квантового симулятора на основе одиночных фотонов в интегрально-оптических схемах (участие в процессе проектирования, изготовления и.  Будет плюсом: - знание скриптовых языков программирования для научных вычислений (python/MATLAB/Wolfram Mathematica). - опыт работы в одной из областей: квантовая..."
CMS Developer,https://hh.ru/vacancy/32832547?query=python," Career Holdings, Personnel Recruitment Centre","Design and develop Line of Business applications by setting expectations and features priorities throughout development life cycle. Perform optimization and... Developer must have initiative and good organizational skills for the multiple project task work, ability to identify appropriate sequence of..."
Системный администратор,https://hh.ru/vacancy/32497611?query=python, ТРЕХМЕР,"Администрирование системы сетевого рендеренга (Написание/изменение bat,python-скриптов, обновление ПО рендер-фермы). Организация резервного копирования. Консультация сотрудников компании по... Технический английский язык. Неплохо иметь опыт программирования на каком-либо языке (python, mel). Желательно уметь паять. Ответственность, коммуникабельность, стрессоустойчивость, обучаемость. "
Системный администратор,https://hh.ru/vacancy/32615249?query=python, Kramp,Поддержка пользователей (ПК и тонкие клиенты на Windows 10). Поддержка оргтехники. Поддержка складских пользователей (ТСД и принтеры Zebra).  Совсем опционально: Опыт написания скриптов на MS Powershell. Опыт написания скриптов на bash/python etc. Опыт работы с unix системами...
PHP-программист,https://hh.ru/vacancy/32411037?query=python,ООО Промотэд мэн,Поддержка текущих проектов. Создание новых проектов. Добросовестное выполнение поставленных задач. Опыт программирования на PHP 5.6+. Владение принципами ООP. Опыт в поддержке чужого кода. Опыт работы с СУБД: PostgreSQL...
Программист С++,https://hh.ru/vacancy/32347123?query=python,ООО НОВОТЕХ, English - B2. Приветствуется: - Знание протоколов fix/fast/native (к различным торговым площадкам). - Опыт .net core. - Опыт Python.
